"County","State","Population.Population Percent Change","Population.2020 Population","Population.2010 Population","Age.Percent Under 5 Years","Age.Percent Under 18 Years","Age.Percent 65 and Older","Miscellaneous.Percent Female","Ethnicities.White Alone","Ethnicities.Black Alone","Ethnicities.American Indian and Alaska Native Alone","Ethnicities.Asian Alone","Ethnicities.Native Hawaiian and Other Pacific Islander Alone","Ethnicities.Two or More Races","Ethnicities.Hispanic or Latino","Ethnicities.White Alone, not Hispanic or Latino","Miscellaneous.Veterans","Miscellaneous.Foreign Born","Housing.Housing Units","Housing.Homeownership Rate","Housing.Median Value of Owner-Occupied Units","Housing.Households","Housing.Persons per Household","Miscellaneous.Living in Same House +1 Years","Miscellaneous.Language Other than English at Home","Education.High School or Higher","Education.Bachelor's Degree or Higher","Sales.Accommodation and Food Services Sales","Miscellaneous.Manufacturers Shipments","Sales.Retail Sales","Miscellaneous.Mean Travel Time to Work","Income.Median Houseold Income","Income.Per Capita Income","Employment.Nonemployer Establishments","Employment.Firms.Total","Employment.Firms.Men-Owned","Employment.Firms.Women-Owned","Employment.Firms.Minority-Owned","Employment.Firms.Nonminority-Owned","Employment.Firms.Veteran-Owned","Employment.Firms.Nonveteran-Owned","Population.Population per Square Mile","Miscellaneous.Land Area"
"Northampton County","PA","1","300654","297735","5","20.7","17.4","50.9","88.3","6.3","0.4","2.9","0.1","2","12","78.5","22090","6.7","121143","73.1","212100","112189","2.56","-1","-1","88.7","26.6","-1","-1","-1","-1","60097","-1","-1","-1","-1","-1","-1","-1","-1","-1","805.4","19.98"
"Northumberland County","PA","-0.6","93944","94528","5.3","19.9","19.7","49.8","95.5","2.6","0.2","0.5","0","1.2","3.1","93.1","9663","1.3","44937","71.3","98200","39348","2.28","-1","-1","85.3","14","-1","-1","-1","-1","41208","-1","-1","-1","-1","-1","-1","-1","-1","-1","206.2","499.15"
"Perry County","PA","-0.7","45634","45969","5.9","22.1","15.9","49.7","97.2","0.8","0.2","0.5","0.1","1.2","1.7","95.9","4083","1.2","20497","79.5","158400","18173","2.49","-1","-1","86.7","15.5","-1","-1","-1","-1","57375","-1","-1","-1","-1","-1","-1","-1","-1","-1","83.4","1343.13"
"Philadelphia County","PA","2.2","1560297","1526006","7.1","22.2","12.5","52.7","45.3","44.1","0.8","7.2","0.1","2.5","13.6","35.8","74487","12.2","670401","53.3","142500","580017","2.56","-1","-1","81.2","23.9","-1","-1","-1","-1","37192","-1","-1","-1","-1","-1","-1","-1","-1","-1","11379.5","429.65"
"Pike County","PA","-2","56191","57369","3.8","19.8","20.3","49.8","90.3","6.3","0.5","1.2","0","1.7","10.2","81.6","5570","7.2","38538","84.2","193100","21581","2.63","-1","-1","91.3","22.5","-1","-1","-1","-1","59340","-1","-1","-1","-1","-1","-1","-1","-1","-1","105.3","179.13"
"Potter County","PA","-1.4","17206","17457","5.6","21.2","21.8","50","97.9","0.5","0.4","0.3","0","0.9","1.1","97","1727","1.1","12843","76.8","96500","7077","2.44","-1","-1","88.4","14.6","-1","-1","-1","-1","41547","-1","-1","-1","-1","-1","-1","-1","-1","-1","16.1","870.24"
"Schuylkill County","PA","-1.7","145797","148289","4.7","19.5","19.3","48.9","94.8","3.3","0.2","0.6","0","1.1","3.6","91.9","13883","1.9","69072","75.1","93500","59658","2.36","-1","-1","86.4","14.3","-1","-1","-1","-1","45012","-1","-1","-1","-1","-1","-1","-1","-1","-1","190.4","896.72"
"Snyder County","PA","1.6","40323","39702","5.6","21.9","16.6","50.6","97","1.2","0.2","0.7","0.1","0.9","2.2","95.2","2722","1.1","16127","76.7","133700","14397","2.6","-1","-1","82.6","16.7","-1","-1","-1","-1","46513","-1","-1","-1","-1","-1","-1","-1","-1","-1","120.8","564.52"
"Somerset County","PA","-2","76218","77742","4.4","18.3","20.4","48.1","96","2.8","0.1","0.3","0","0.7","1.4","94.8","6814","0.7","37945","78.9","98400","29791","2.45","-1","-1","85.6","14.5","-1","-1","-1","-1","43597","-1","-1","-1","-1","-1","-1","-1","-1","-1","72.4","923.45"
"Sullivan County","PA","-1.4","6339","6428","3.4","12.3","26.9","47.7","95.1","3.2","0.4","0.4","0","0.9","1.8","93.5","774","1.7","6300","83.1","137000","2402","2.5","-1","-1","87.3","14","-1","-1","-1","-1","40964","-1","-1","-1","-1","-1","-1","-1","-1","-1","14.3","308.94"
"Susquehanna County","PA","-3.3","41920","43356","4.8","19.7","20","49.6","97.9","0.6","0.2","0.4","0.1","0.9","1.8","96.4","4032","1.4","23024","78.2","139000","17163","2.48","-1","-1","89","16.5","-1","-1","-1","-1","48231","-1","-1","-1","-1","-1","-1","-1","-1","-1","52.7","727.29"
"Tioga County","PA","0.7","42274","41981","5.8","19.9","19.6","50.5","97.2","0.9","0.3","0.5","0","1.1","1.3","96.1","4129","1.1","21492","74.3","116000","17058","2.37","-1","-1","88.4","19.1","-1","-1","-1","-1","44187","-1","-1","-1","-1","-1","-1","-1","-1","-1","37","563.6"
"Union County","PA","-0.2","44874","44947","4.4","18.1","16.1","45","88.9","7.7","0.5","1.6","0.1","1.3","5.7","84.6","3467","3.9","17064","73.3","154300","15062","2.37","-1","-1","84.8","21.2","-1","-1","-1","-1","48528","-1","-1","-1","-1","-1","-1","-1","-1","-1","142.2","2477.77"
"Venango County","PA","-2.6","53529","54984","5.3","20.3","19.9","50.8","97","1.2","0.2","0.4","0","1.1","1.1","96.1","5260","0.8","27269","74.6","81000","22547","2.36","-1","-1","88.8","15.4","-1","-1","-1","-1","41977","-1","-1","-1","-1","-1","-1","-1","-1","-1","81.5","458.73"
"Warren County","PA","-2.7","40703","41815","4.9","19.8","20.7","49.8","97.9","0.5","0.3","0.4","0","0.9","0.9","97.1","4187","1.3","23375","77","88700","17257","2.35","-1","-1","89.6","17.9","-1","-1","-1","-1","43764","-1","-1","-1","-1","-1","-1","-1","-1","-1","47.3","459.33"
"Washington County","PA","0.2","208187","207820","5","19.7","18.9","51.1","94","3.2","0.1","0.9","0","1.7","1.5","92.8","18403","1.7","93912","76.1","143600","84098","2.41","-1","-1","90.4","25.6","-1","-1","-1","-1","53693","-1","-1","-1","-1","-1","-1","-1","-1","-1","242.5","1795.35"
"Wayne County","PA","-2.7","51401","52822","4.1","17.6","20.7","46.9","94.5","3.6","0.3","0.6","0","1","4.2","90.9","5172","3.5","31864","79.7","179900","19558","2.48","-1","-1","87.7","19.2","-1","-1","-1","-1","49313","-1","-1","-1","-1","-1","-1","-1","-1","-1","72.8","823.22"
"Westmoreland County","PA","-1.6","359320","365169","4.6","18.8","20.7","51.2","95.1","2.5","0.1","0.9","0","1.4","1.1","94.3","33249","1.5","168255","76.3","133600","152109","2.34","-1","-1","92.1","25.3","-1","-1","-1","-1","50736","-1","-1","-1","-1","-1","-1","-1","-1","-1","355.4","606.41"
"Wyoming County","PA","-0.5","28131","28276","5","20.5","18.4","49.6","97.2","0.9","0.2","0.5","0","1","1.8","95.6","2471","1.3","13314","77.6","155100","10992","2.49","-1","-1","89.2","17.4","-1","-1","-1","-1","48482","-1","-1","-1","-1","-1","-1","-1","-1","-1","71.2","464.03"
"York County","PA","1.3","440755","434972","5.7","22.4","15.9","50.5","89.7","6.5","0.3","1.5","0.1","2","6.5","84.8","34528","3.4","180653","75.1","174200","167592","2.55","-1","-1","88.1","22","-1","-1","-1","-1","58745","-1","-1","-1","-1","-1","-1","-1","-1","-1","481.1","445.49"
"Bristol County","RI","-1.6","49060","49875","4","19.6","18.8","51.8","95.3","1.1","0.2","1.8","0","1.6","2.4","93.2","3324","9","20803","72.4","341000","19174","2.42","-1","-1","89.8","43.7","-1","-1","-1","-1","71238","-1","-1","-1","-1","-1","-1","-1","-1","-1","2064","916.31"
"Kent County","RI","-0.6","165128","166158","4.9","19.4","17.4","51.7","93.4","1.9","0.4","2.5","0.1","1.8","4.2","90","13771","5.9","73595","71.4","220200","68880","2.38","-1","-1","90.4","30","-1","-1","-1","-1","62279","-1","-1","-1","-1","-1","-1","-1","-1","-1","985.9","262.92"
"Newport County","RI","-0.9","82358","82888","4.4","18.5","19.3","50.9","90.7","4.1","0.5","1.8","0.1","2.7","5.3","86.7","8576","6.9","41861","62.6","355800","34774","2.28","-1","-1","92.7","44.7","-1","-1","-1","-1","71713","-1","-1","-1","-1","-1","-1","-1","-1","-1","809.6","572.82"
"Providence County","RI","0.8","631974","626667","5.8","21.1","14.2","51.5","79.7","11.4","1.2","4.4","0.2","3","20.9","64.1","35075","17.9","263473","54.3","224100","237800","2.52","-1","-1","80.7","26.4","-1","-1","-1","-1","49297","-1","-1","-1","-1","-1","-1","-1","-1","-1","1530.3","4886.54"
"Washington County","RI","-0.3","126653","126979","3.8","18","17.9","51.7","93.7","1.4","0.9","2.1","0","1.8","3","91.3","9875","4.3","62893","74.5","321900","49430","2.44","-1","-1","92.7","43.5","-1","-1","-1","-1","72138","-1","-1","-1","-1","-1","-1","-1","-1","-1","385.7","58.15"
"Abbeville County","SC","-1.8","24965","25417","5.4","21.5","19.4","51.5","69.7","28.3","0.3","0.4","0","1.2","1.2","68.8","1944","1","12002","76.4","91200","9809","2.49","-1","-1","76.8","12.2","-1","-1","-1","-1","35947","-1","-1","-1","-1","-1","-1","-1","-1","-1","51.8","400.17"
"Aiken County","SC","2.9","164753","160099","5.7","22.1","17.5","51.5","71.4","25.1","0.5","0.9","0.1","1.9","5.4","67","14081","3.4","74032","73.3","124600","63388","2.5","-1","-1","84.8","24","-1","-1","-1","-1","44509","-1","-1","-1","-1","-1","-1","-1","-1","-1","149.5","447.14"
"Allendale County","SC","-6.9","9695","10419","5.1","19.5","16.3","46.1","25.4","72.9","0.3","0.6","0","0.8","2.9","23.3","622","1.4","4433","63.5","65400","3424","2.63","-1","-1","71.9","15","-1","-1","-1","-1","25252","-1","-1","-1","-1","-1","-1","-1","-1","-1","25.5","647.98"
"Anderson County","SC","3","192810","187126","6","23.3","17","51.7","80.6","16.6","0.3","0.9","0","1.5","3.5","77.7","14754","2.5","85449","72.9","123400","73296","2.53","-1","-1","81.7","19.3","-1","-1","-1","-1","41579","-1","-1","-1","-1","-1","-1","-1","-1","-1","261.6","449.94"
"Bamberg County","SC","-5","15182","15987","5.1","20.1","18.3","51.8","37","61.1","0.4","0.5","0.1","1","1.9","35.8","1329","1.8","7621","75.9","74700","5883","2.47","-1","-1","75.5","17.5","-1","-1","-1","-1","31483","-1","-1","-1","-1","-1","-1","-1","-1","-1","40.6","413.36"
"Barnwell County","SC","-2.9","21959","22621","7","25.3","15.9","52.3","53.1","44.1","0.6","0.7","0","1.5","2.5","51.2","1535","1.3","10378","74.6","72400","8416","2.63","-1","-1","79.7","11.2","-1","-1","-1","-1","35231","-1","-1","-1","-1","-1","-1","-1","-1","-1","41.2","608.36"
"Beaufort County","SC","8.4","175852","162233","5.8","19.9","24.1","50.9","77.1","19.1","0.4","1.4","0.1","1.8","11.4","67.1","18885","10.3","94287","71.4","275500","64417","2.46","-1","-1","91.3","37.6","-1","-1","-1","-1","57316","-1","-1","-1","-1","-1","-1","-1","-1","-1","281.5","412.75"
"Berkeley County","SC","11.4","198205","177843","6.8","24.4","12.3","50.2","68.9","25.1","0.7","2.5","0.2","2.7","6.1","63.9","20705","5.8","77272","70.3","150400","65392","2.77","-1","-1","86.7","21.3","-1","-1","-1","-1","52427","-1","-1","-1","-1","-1","-1","-1","-1","-1","161.8","1871.71"
"Calhoun County","SC","-2","14878","15175","5.2","20.4","19.7","51.3","55.8","41.9","0.6","0.3","0.1","1.2","3.2","53.5","1279","2","7298","80.1","100600","6163","2.43","-1","-1","82.8","16.9","-1","-1","-1","-1","40704","-1","-1","-1","-1","-1","-1","-1","-1","-1","39.8","1181.94"
"Charleston County","SC","8.8","381015","350209","6.1","20.2","14.5","51.6","67.7","28.6","0.4","1.6","0.1","1.5","5.1","63.4","31268","5.4","178050","60.6","236100","143717","2.41","-1","-1","88.3","39.4","-1","-1","-1","-1","50792","-1","-1","-1","-1","-1","-1","-1","-1","-1","382.3","529.45"
"Cherokee County","SC","1","56024","55342","6.3","23.9","15.2","51.5","76.5","20.7","0.5","0.7","0.1","1.5","4.1","73.2","3620","2.5","23986","66.9","83600","20762","2.63","-1","-1","75","14.3","-1","-1","-1","-1","34202","-1","-1","-1","-1","-1","-1","-1","-1","-1","140.9","903.89"
"Chester County","SC","-2.4","32337","33140","6.3","23","16.7","51.5","60.5","37","0.5","0.5","0","1.5","1.8","59","2641","1","14603","75.6","82500","12368","2.63","-1","-1","78","12.4","-1","-1","-1","-1","33103","-1","-1","-1","-1","-1","-1","-1","-1","-1","57.1","546.93"
"Chesterfield County","SC","-1.3","46125","46734","5.8","23","16","51.3","64.5","32.5","0.7","0.6","0.1","1.7","3.9","61.3","3177","2.3","21281","69.8","79400","17622","2.6","-1","-1","74.9","12.6","-1","-1","-1","-1","31252","-1","-1","-1","-1","-1","-1","-1","-1","-1","58.5","482.7"
"Clarendon County","SC","-2.4","34113","34971","5.1","20.4","19.8","50.7","49.4","48.7","0.3","0.6","0","0.9","3","47.3","2909","1.5","17387","72.9","85900","12690","2.6","-1","-1","77.7","13","-1","-1","-1","-1","31410","-1","-1","-1","-1","-1","-1","-1","-1","-1","57.6","697.75"
"Colleton County","SC","-2.9","37771","38892","6","23","18.6","52.1","58.9","38.3","0.8","0.4","0","1.6","3.1","56.5","4023","1.9","19707","74.4","89900","14905","2.55","-1","-1","78.8","14.7","-1","-1","-1","-1","33233","-1","-1","-1","-1","-1","-1","-1","-1","-1","36.8","278.95"
"Darlington County","SC","-1.3","67799","68681","5.8","23.1","16.5","52.8","56.7","41.2","0.4","0.5","0","1.1","2","55.3","4771","1.9","30214","69.7","87200","26609","2.52","-1","-1","79.2","17","-1","-1","-1","-1","36323","-1","-1","-1","-1","-1","-1","-1","-1","-1","122.4","823.44"
"Dillon County","SC","-2.9","31127","32062","7.1","25.7","15","52.7","48.4","46.6","2.8","0.3","0","1.9","2.5","46.8","2045","2.5","13573","63.7","64400","11744","2.66","-1","-1","70.6","8.2","-1","-1","-1","-1","28817","-1","-1","-1","-1","-1","-1","-1","-1","-1","79.2","936.08"
"Dorchester County","SC","8.7","148469","136555","6.5","25.5","11.7","51.2","68.8","25.9","0.7","1.8","0.1","2.5","4.9","64.9","14715","4.3","57688","70.7","167400","50321","2.74","-1","-1","89.4","24.5","-1","-1","-1","-1","53857","-1","-1","-1","-1","-1","-1","-1","-1","-1","238.2","490.22"
"Edgefield County","SC","-1.6","26553","26985","4.4","19.4","15.9","45.9","60.9","36.9","0.3","0.4","0.1","1.3","5.7","56.2","2160","4.6","10617","78.2","109500","9108","2.62","-1","-1","81.3","17.2","-1","-1","-1","-1","43861","-1","-1","-1","-1","-1","-1","-1","-1","-1","53.9","602.41"
"Fairfield County","SC","-4.1","22976","23956","4.9","20.5","18","52.2","39.2","58.8","0.3","0.3","0","1.5","1.9","37.8","2077","1.8","11646","73.6","91900","9408","2.46","-1","-1","81.4","15.5","-1","-1","-1","-1","36120","-1","-1","-1","-1","-1","-1","-1","-1","-1","34.9","1453.93"
"Florence County","SC","1.7","139231","136885","6.5","24.2","15","53.2","54.7","42.2","0.4","1.5","0","1.2","2.4","52.9","9328","2.6","59088","65.8","114900","51332","2.61","-1","-1","82.6","21.3","-1","-1","-1","-1","41910","-1","-1","-1","-1","-1","-1","-1","-1","-1","171.1","688.55"
"Georgetown County","SC","1","60773","60158","4.9","20","24.1","52.4","65.5","32.6","0.3","0.5","0.1","1.1","3.2","63","6091","3","34056","77.8","158800","23115","2.58","-1","-1","84.5","22.7","-1","-1","-1","-1","40131","-1","-1","-1","-1","-1","-1","-1","-1","-1","73.9","1855.21"
"Greenville County","SC","7","482752","451225","6.4","23.5","14.3","51.4","76.9","18.5","0.5","2.2","0.1","1.7","8.8","69.3","32427","8","200831","67","153600","175149","2.56","-1","-1","85.7","31.2","-1","-1","-1","-1","49022","-1","-1","-1","-1","-1","-1","-1","-1","-1","574.7","10426.65"
"Greenwood County","SC","-0.2","69520","69661","6.3","23.1","17.1","53.2","65.1","32.1","0.5","1","0.1","1.2","5.8","60.4","4988","3.9","31125","66","104900","27004","2.49","-1","-1","80.4","22.1","-1","-1","-1","-1","36540","-1","-1","-1","-1","-1","-1","-1","-1","-1","153.2","742.08"
"Hampton County","SC","-3.2","20405","21090","5.7","22.5","15.8","48.4","43.9","53.9","0.4","0.6","0","1.2","3.9","41.2","1347","1.9","9031","75.9","79400","7470","2.6","-1","-1","75.8","11.4","-1","-1","-1","-1","34233","-1","-1","-1","-1","-1","-1","-1","-1","-1","37.7","890.16"
"Horry County","SC","11","298832","269291","5.2","19.3","20.5","51.5","82.4","13.7","0.6","1.2","0.2","1.9","6.1","77.2","27785","6.7","193090","69.5","159600","113490","2.42","-1","-1","87.7","22.7","-1","-1","-1","-1","42431","-1","-1","-1","-1","-1","-1","-1","-1","-1","237.5","220.63"
"Jasper County","SC","9.7","27170","24777","6","21.4","15.4","48.4","53.1","44.1","0.7","0.8","0.1","1.2","13.9","41","1604","9.1","10890","71","90200","8563","2.86","-1","-1","78.8","12.5","-1","-1","-1","-1","36413","-1","-1","-1","-1","-1","-1","-1","-1","-1","37.8","391.39"
"Kershaw County","SC","2.6","63161","61697","5.9","23.6","16.4","51.5","72.1","25.2","0.4","0.7","0.1","1.6","4.2","68.7","5443","2.9","28012","76.1","116000","24084","2.55","-1","-1","84.9","19.3","-1","-1","-1","-1","43765","-1","-1","-1","-1","-1","-1","-1","-1","-1","84.9","268.54"
"Lancaster County","SC","8.5","83160","76652","5.7","21.9","18.8","50.9","74.6","22.7","0.4","0.9","0.1","1.3","5","70.2","6294","3.1","34103","75","142200","28956","2.64","-1","-1","82.3","18.7","-1","-1","-1","-1","42217","-1","-1","-1","-1","-1","-1","-1","-1","-1","139.6","194.61"
"Laurens County","SC","0","66533","66537","5.9","22.4","16.7","51.5","71.8","26","0.4","0.4","0.1","1.3","4.4","68.3","4965","2.5","30617","71.7","81800","25184","2.54","-1","-1","78.2","14.5","-1","-1","-1","-1","37383","-1","-1","-1","-1","-1","-1","-1","-1","-1","93.2","736.78"
"Lee County","SC","-4.6","18343","19220","4.9","20.7","16.1","47.8","34.7","63.4","0.4","0.4","0","1","2.1","33.3","1131","1.4","7678","73.2","65000","6737","2.54","-1","-1","72.8","9.1","-1","-1","-1","-1","27373","-1","-1","-1","-1","-1","-1","-1","-1","-1","46.9","645.29"
"Lexington County","SC","5.9","277888","262391","6.1","23.7","14.2","51.1","80.7","15.2","0.5","1.7","0.1","1.8","5.8","75.7","23090","4.9","118642","74.3","140100","103742","2.54","-1","-1","88.4","28.7","-1","-1","-1","-1","54061","-1","-1","-1","-1","-1","-1","-1","-1","-1","375.4","716.52"
"Marion County","SC","-3.4","31933","33062","6.1","23.4","17.1","53.8","40.9","56.5","0.7","0.7","0","1.1","2.7","39.2","2124","2.1","14794","67.1","77800","12049","2.69","-1","-1","81.8","13.6","-1","-1","-1","-1","29149","-1","-1","-1","-1","-1","-1","-1","-1","-1","67.6","721.01"
"Marlboro County","SC","-3.5","27924","28933","5.4","20.7","15.2","46.8","42.1","51","4.7","0.4","0.1","1.8","3.2","39.9","1873","1.9","11950","66.1","58200","9779","2.58","-1","-1","69.9","8.7","-1","-1","-1","-1","28297","-1","-1","-1","-1","-1","-1","-1","-1","-1","60.3","632.44"
"McCormick County","SC","-3.8","9846","10233","3.2","12.8","29.8","44.9","49.6","48.6","0.2","0.5","0.1","1.1","1.2","48.7","1155","1.5","5468","79.3","112500","4069","2.15","-1","-1","78.8","18.2","-1","-1","-1","-1","40028","-1","-1","-1","-1","-1","-1","-1","-1","-1","28.5","791.28"
"Newberry County","SC","0.7","37783","37508","5.8","22","18","51.4","65.5","31.3","0.8","0.7","0.3","1.3","7.5","60","2679","5.4","17977","71.5","107400","14254","2.55","-1","-1","76.9","18.9","-1","-1","-1","-1","41718","-1","-1","-1","-1","-1","-1","-1","-1","-1","59.5","863.61"
"Oconee County","SC","1.2","75192","74273","5.4","20.4","21.6","50.5","89.5","7.8","0.3","0.8","0","1.6","4.8","85.2","7307","3.2","39128","75.2","136300","30106","2.45","-1","-1","83.1","21.7","-1","-1","-1","-1","41394","-1","-1","-1","-1","-1","-1","-1","-1","-1","118.6","404.76"
"Orangeburg County","SC","-2.6","90090","92501","6.3","22.6","17.1","53.1","34.9","62.2","0.6","1","0","1.3","2.1","33.6","6482","2","42184","68.2","84700","34180","2.59","-1","-1","79.3","18.6","-1","-1","-1","-1","34110","-1","-1","-1","-1","-1","-1","-1","-1","-1","83.6","479.4"
"Pickens County","SC","1","120368","119224","4.9","19.7","15.2","50.2","89.4","6.9","0.3","1.9","0","1.5","3.4","86.4","8483","4","52121","69.3","123900","43971","2.54","-1","-1","82.2","23","-1","-1","-1","-1","41788","-1","-1","-1","-1","-1","-1","-1","-1","-1","240.2","1043.31"
"Richland County","SC","4.4","401566","384504","5.9","22","11.3","51.5","47.8","46.9","0.4","2.7","0.2","2.1","5.1","44.1","33288","5.2","166973","60.7","149800","143874","2.5","-1","-1","89.7","36.1","-1","-1","-1","-1","48359","-1","-1","-1","-1","-1","-1","-1","-1","-1","507.9","376.69"
"Saluda County","SC","0.8","20026","19875","6.3","22","18.3","49.6","69.7","26.2","1.5","0.3","1","1.3","14.9","58","1446","9.4","9266","72.8","90400","7020","2.79","-1","-1","76.8","12.4","-1","-1","-1","-1","38514","-1","-1","-1","-1","-1","-1","-1","-1","-1","43.9","531.9"
"Spartanburg County","SC","3.2","293542","284307","6.3","23.7","15.1","51.5","74.5","21","0.4","2.3","0.1","1.7","6.4","69","20802","6.4","124505","69.6","121300","107350","2.6","-1","-1","82.2","21.3","-1","-1","-1","-1","42919","-1","-1","-1","-1","-1","-1","-1","-1","-1","351.9","266.33"
"Sumter County","SC","0.4","107919","107456","7.1","24.6","14.5","51.8","49.2","47.1","0.5","1.3","0.1","1.8","3.8","46.4","11981","3.5","47029","65.4","107300","39373","2.66","-1","-1","82.3","19.2","-1","-1","-1","-1","41366","-1","-1","-1","-1","-1","-1","-1","-1","-1","161.6","915.55"
"Union County","SC","-3.8","27876","28961","5.4","21.8","18.5","52.5","66.2","31.7","0.3","0.3","0.1","1.5","1.2","65.4","2062","0.7","14015","73.1","74000","11854","2.37","-1","-1","78.1","12.9","-1","-1","-1","-1","32556","-1","-1","-1","-1","-1","-1","-1","-1","-1","56.3","974.88"
"Williamsburg County","SC","-5","32695","34423","5.3","21.7","17.9","51.5","33.1","65.1","0.4","0.4","0","0.9","2.3","31.5","2053","1.4","15176","74.3","67100","11621","2.76","-1","-1","77.6","12.2","-1","-1","-1","-1","25849","-1","-1","-1","-1","-1","-1","-1","-1","-1","36.8","648.97"
"York County","SC","8.5","245346","226073","6.3","24.7","13.1","51.7","75.9","19.5","0.9","1.8","0.1","1.9","5","71.6","16892","4.6","98856","71.6","159300","86483","2.62","-1","-1","87.5","28.5","-1","-1","-1","-1","53740","-1","-1","-1","-1","-1","-1","-1","-1","-1","332.2","518.85"
"Aurora County","SD","1.3","2745","2710","6.5","26.3","19.7","48.5","96","0.5","2","0.6","0","0.9","4.4","91.8","224","3.3","1332","80.6","68800","1102","2.36","-1","-1","88.8","16.7","-1","-1","-1","-1","46667","-1","-1","-1","-1","-1","-1","-1","-1","-1","3.8","2949.71"
